id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,お墓を継ぐ人（後継者）はいますか？,いる（子・孫など）,不明・未定,いない（子なし・独身など）,A,B,C
2,お墓の管理（掃除・お参り）はどのくらい行けますか？,月1回以上行ける,年数回は行ける,ほとんど行けない,A,B,C
3,お墓の予算感は？,200万円以上でも構わない,50〜200万円程度,50万円未満に抑えたい,A,B,C
4,宗教・宗派へのこだわりはありますか？,菩提寺があり宗派を守りたい,少しこだわりがある,特にこだわらない,A,B,C
5,故人（または自分）の希望に近いのは？,先祖代々のお墓に入りたい,自然の中で眠りたい,一人でゆっくり眠りたい,A,B,C
6,お墓の場所へのアクセスは？,車・電車で1時間以内に行ける,少し遠いが行ける,遠方のため頻繁には行けない,A,B,C
7,他の家族・親族との共同利用を考えていますか？,家族全員で同じ墓に入りたい,夫婦だけでいい,一人で入りたい,A,B,C
8,永代供養（管理を霊園に任せる）に興味がありますか？,ない（自分で管理したい）,少し興味がある,はい（管理を任せたい）,A,B,C
9,散骨（海・山など）に抵抗はありますか？,抵抗がある,少し抵抗がある,抵抗はない,A,B,C
10,現在すでにお墓（墓地・墓石）はありますか？,ある（継承予定）,ある（墓じまいを検討中）,ない,A,B,C
