id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,遺言書（自筆・公正証書）を作成していますか？,作成済み,作成を検討中,まったく考えていない,A,B,C
2,エンディングノートを書いていますか？,書いている,少し書いた,まったく書いていない,A,B,C
3,財産（預貯金・不動産・有価証券）の一覧を作成していますか？,作成済み,だいたい把握している,整理できていない,A,B,C
4,葬儀の希望（スタイル・参列者・費用）を家族に伝えていますか？,伝えてある,なんとなく話したことがある,まったく話していない,A,B,C
5,お墓・納骨の希望は決まっていますか？,決まっている,検討中,まったく考えていない,A,B,C
6,延命治療・臓器提供などの医療方針を家族に伝えていますか？,伝えてある,少し話したことがある,まったく話していない,A,B,C
7,デジタル資産（パスワード・SNS・ネット銀行）の整理はできていますか？,整理済み,一部できている,まったくできていない,A,B,C
8,老後の住まい・介護の希望を家族に伝えていますか？,伝えてある,なんとなく話したことがある,まったく話していない,A,B,C
9,生命保険・年金の内容を家族が把握していますか？,把握している,一部は知っている,まったく知らない,A,B,C
10,相続税・相続手続きについて専門家に相談したことはありますか？,ある,少し調べたことがある,まったくない,A,B,C
