id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,亡くなってからどのくらい経ちますか？,まだ亡くなっていない（事前確認）,亡くなって1週間以内,亡くなって1ヶ月以上,A,B,C
2,死亡届・火葬許可証の手続きは済んでいますか？,済んでいる,手続き中,まだ,A,B,C
3,相続人（配偶者・子・親など）の確認はできていますか？,できている,だいたい把握,まったくできていない,A,B,C
4,遺言書はありましたか？,あった,探したがない,まだ確認していない,A,B,C
5,銀行口座の凍結への対応はできていますか？,対応済み,手続き中,まだ何もしていない,A,B,C
6,相続する財産（不動産・預貯金・株など）の把握はできていますか？,把握できている,だいたい把握,まったくできていない,A,B,C
7,相続税の申告が必要かどうか確認しましたか？,不要と確認済み,要確認,まだ確認していない,A,B,C
8,故人の公共料金・サブスク・クレジットカードの解約は進んでいますか？,対応済み,一部進んでいる,まだ,A,B,C
9,相続について専門家（税理士・司法書士）に相談しましたか？,相談済み,検討中,まだ,A,B,C
10,相続人全員で遺産分割の話し合いはできていますか？,できている,これから,まったくできていない,A,B,C
