id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,故人（または自分）の希望に最も近いのは？,多くの人に見送ってもらいたい,身内だけで静かに送りたい,費用を抑えてシンプルに,A,B,C
2,参列者の人数はどのくらいを想定していますか？,50人以上,10〜50人未満,10人未満（家族のみ）,A,B,C
3,お別れの時間をどのくらい取りたいですか？,しっかり時間をかけたい,一般的な時間でいい,できるだけ短くシンプルに,A,B,C
4,宗教的な儀式（読経・戒名など）は必要ですか？,しっかり行いたい,ある程度は必要,特にこだわらない,A,B,C
5,葬儀の予算感は？,200万円以上でも構わない,50〜200万円程度,50万円未満に抑えたい,A,B,C
6,故人の交友関係は広かった方ですか？,非常に広かった,普通程度,あまり広くなかった,A,B,C
7,葬儀後に一般の知人・会社関係者への対応は？,しっかりお別れの場を設けたい,後日お知らせだけする,特に連絡しなくていい,A,B,C
8,お通夜は行いますか？,必ず行いたい,どちらでもいい,省略したい,A,B,C
9,葬儀場所のこだわりは？,自宅近くの式場,宗派の菩提寺,火葬場に併設の式場,A,B,C
10,今後の法要（四十九日・一周忌など）も同じ形式で行いたいですか？,しっかり行いたい,簡単に行いたい,特に考えていない,A,B,C
